GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,Optimum Temp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Dictyoglomus thermophilum,Dictyoglomus,Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomi,Bacteria,1.37E-06,s^-1,78,Celsius,2.42E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","286, 555, 5040, 12331, 12893, 14813, 18701, 18707, 18718, 18723"
Myxococcus xanthus,Myxococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,2.41E-05,s^-1,23.333,Celsius,2.54E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4697, 12331, 13383, 14405, 18701, 18707, 18718, 18723, 18904"
Sorangium cellulosum,Sorangium,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,1.22E-05,s^-1,28,Celsius,4.06E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4988, 7652, 8164, 12331, 13752, 14673, 16573, 18701, 18707, 18718, 18723, 18950"
Pseudoalteromonas haloplanktis,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000166414,s^-1,13.75,Celsius,2.51E-18,m^3,"corkrey, engqvist, genbank, gold, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","276, 555, 4976, 12331, 14321, 18701, 18707, 18718, 18723, 18924"
Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,2.96E-05,s^-1,37,Celsius,2.40E-19,m^3,"engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4465, 7875, 8010, 8635, 8759, 9088, 9200, 9413, 9513, 9665, 9756, 9866, 9943, 10020, 10098, 10165, 10234, 10284, 12331, 14284, 14343, 14742, 15607, 17077, 17144, 17196, 17197, 17208, 17409, 17410, 18701, 18707, 18718, 18723, 18822"
Paracoccus denitrificans,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,4.58E-05,s^-1,27.5,Celsius,2.97E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4960, 12331, 13489, 14479, 18701, 18707, 18718, 18723, 18914"
Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000122872,s^-1,32.476,Celsius,1.21E-18,m^3,"bacdive-microa, corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva","1, 36, 555, 4420, 7913, 7977, 8665, 8728, 9115, 9176, 9438, 9492, 9685, 9738, 9882, 9927, 10037, 10081, 10180, 10222, 10297, 10337, 10398, 10432, 10481, 10514, 10561, 10592, 10636, 10670, 10710, 4607, 10775, 10798, 5584, 11192, 11212, 11228, 11261, 11279, 11291, 11311, 11322, 11389, 11417, 11424, 11431, 11438, 11443, 11455, 11460, 11466, 11468, 11475, 11480, 11486, 11492, 11499, 11501, 11512, 11531, 11536, 11538, 11543, 11550, 11557, 11559, 7162, 8186, 11600, 11607, 11609, 11616, 11637, 11646, 11663, 11672, 11673, 11683, 11685, 11692, 11699, 11706, 11708, 11712, 11713, 11719, 11721, 12291, 12331, 13577, 14090, 14440, 14608, 14857, 15867, 15868, 16054, 16489, 16566, 16752, 16753, 16775, 16794, 16795, 16839, 16843, 16897, 16898, 16938, 16939, 17497, 18540, 18560, 18701, 18707, 18718, 18723, 18857"
Azotobacter chroococcum,Azotobacter,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000245746,s^-1,26.2,Celsius,1.24E-17,m^3,"engqvist, genbank, gold, kegg, masonmm, pasteur, patric, rrndb","555, 6115, 7274, 12331, 17366, 18539, 18707, 18723"
Rhizobium tropici,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,6.02E-05,s^-1,27.5,Celsius,4.38E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5528, 12331, 13634, 16301, 18701, 18707, 18718, 18723"
Methylobacillus flagellatus,Methylobacillus,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria,4.93E-05,s^-1,36,Celsius,3.37E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, patric, protraits, rrndb, silva, bergeys","555, 4703, 12331, 13287, 14381, 18707, 18718, 18723, 18889"
Gluconobacter oxydans,Gluconobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,0.000102415,s^-1,28.95,Celsius,1.88E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","555, 4753, 7708, 8129, 8535, 8831, 12331, 13004, 13005, 14274, 16220, 17290, 18701, 18707, 18718, 18723, 18861"
